Pattern,Reasoning_Clause,Decision
Other/Unspecified,"t and colon cancer"" (petition at 10)",Denial
Other/Unspecified,"well as the comments on the petition submitted by a private citizen on may 22,2006, and by hoffman-la roche inc",Denial
Other/Unspecified,"ons described in detail in this response, we deny your requests that fda immediately remove xenical from the market and that fda not approve an otc fo",Denial
Other/Unspecified,"with all fda-approved products, fda will continue to m",Denial
Other/Unspecified,data described in fda's pharmacology review of the xenical nda' and a recent study in rats that reported an association between orlistat and an incre,Denial
Other/Unspecified,concluded the review of ortho-mcneil's supplemental new drug application (nda) for labeling information on the use of an overlay system in connection,Denial
Other/Unspecified,"signed docket numbers 2006p-0123/cpl and supl, sup2, sup3, sup4, and psa",Denial
Procedural Issue,changed to fda-2006-p-0329 as a result of fda's transition to its new docketing system (regulations,Denial
Other/Unspecified,"e opioid drugs forbidding the concurrent consumption of alcohol due to the known pharmacodynamic interaction, and include in the ""clinical pharmacolog",Denial
Sufficient Evidence,ed on the results of required in vitro and in vivo interaction studies (4) consider whether the study results are adequate to support approval of the,Denial
Sufficient Evidence,the results of required in vitro and in vivo interaction studies (4) consider whether the study results are adequate to support approval of the ndaan,Denial
Other/Unspecified,thoroughly :reviewed ·the,Denial
Other/Unspecified,ons discussed below;,Denial
Other/Unspecified,soon as it is submitted,Denial
Safety Established,"provenge, as soon as they are shown to be safe and effective",Denial
Other/Unspecified,a long history of permitting access to investigational drugs to treat serious and immediately life-threatening diseases without adequate available th,Denial
Insufficient Evidence,es who lack other therapeutic options,Denial
Already Addressed/Moot,stated that it will provide patients access to provenge through its existing on-going clinical trial programs and that 1 we note that there has been,Denial
Other/Unspecified,that there has been previous correspondenc,Denial
Other/Unspecified,delisted before teva submitted anda 76-228 to fda,Denial
Other/Unspecified,"ons described in further detail in this response, we deny your request that fda relist the '952 patent",Denial
Other/Unspecified,"teva's anda did not contain a paragraph iv certification for a listed patent, and teva did not provide the required see docket no",Denial
Other/Unspecified,"added by the food and drug administration amendments act of 2007 (public law 110-85) (fdaaa) on september 27,2007",Denial
Other/Unspecified,such supplement would be subject to pfizer's pediatric exclusivity for amlodipine,Denial
Other/Unspecified,well as the comments filed in the docket,Denial
Other/Unspecified,"ons stated in this response, the petition and psa are denied",Denial
Other/Unspecified,"submitted pursuant to section 505(b)(1) of the federal food, drug, and cosmetic act (fdca or the act) (21 u",Denial
Sufficient Evidence,"a ""stand alone"" nda, in that the sponsor either had conducted all of the studies essential to approval of the application or h",Denial
Sufficient Evidence,using standard clozapine tablets demonstrated no food effect,Denial
Other/Unspecified,"established in a randomized, open-label, multiple-dose, two-way crossover study using the highest dose of fazaclo odts and clozaril (then 100 mg) in",Denial
Other/Unspecified,"ed after a high-fat meal, auc values did not change",Denial
Other/Unspecified,"administered to healthy volunteers under 3 agranulocytosis is a condition in which the bone marrow ceases to make white blood cells, which are necess",Denial
Other/Unspecified,such supplement would be subject to pfizer's pediatric exclusivity for amlodipine,Denial
Other/Unspecified,well as the comments filed in the docket,Denial
Other/Unspecified,"ons stated in this response, the petition and psa are denied",Denial
Other/Unspecified,"submitted pursuant to section 505(b)(1) of the federal food, drug, and cosmetic act (fdca or the act) (21 u",Denial
Sufficient Evidence,"a ""stand alone"" nda, in that the sponsor either had conducted all of the studies essential to approval of the application or had",Denial
Procedural Issue,"described below, since 1985 fda has applied the fd&c act and the prescription drug advertising regulations 4 to both professional and consumer-direct",Denial
Other/Unspecified,"recipients of drug promotion, including differences in medical and pharmaceutical expertise, perception of pharmaceutical claims, and information pro",Denial
Other/Unspecified,originally assigned docket number 2007p-0065/cp1,Denial
Other/Unspecified,"of your petition and submitted materials, we deny your request for the reasons discussed below",Denial
Other/Unspecified,"e note that late, untimely filed objections will not be considered",Denial
Other/Unspecified,"tern time at the end of may 15, 2023",Denial
Other/Unspecified,the scientific laboratory products ltd,Denial
Safety Established,onable assurance of the safety and effectiveness of the devices,Denial
Other/Unspecified,is for the agency's decision,Denial
Other/Unspecified,"sification and reclassification of devices under the medical device amendments of 1976 (the 1976 amendments) the federal food, drug, and cosmetic act",Denial
Safety Established,"amended by the 1976 amendments (public law 94-295), the safe medical devices act of 1990 (smda) (public law 101-629), and the food and drug administr",Denial
Other/Unspecified,oxycontin is the only extended-release oxycodone drug product designated as a reference listed drug (rld) (petition at 4),Denial
Other/Unspecified,"sert that the drug product most similar to remoxy is oxycontin, and these two drug products are similar with respect to active ingredient, strength, e",Denial
Other/Unspecified,"sert that tylox (acetaminophen, oxycodone hc1) capsules cannot serve as the rld and remoxy cannot rely on roxicodone sr for the reasons you describe o",Denial
Other/Unspecified,"e oxycodone drug product were submitted as a 505(b)(1) application, that fda ensure any such application contain full reports of investigations demons",Denial
Other/Unspecified,"sert that based on publicly available information as described in the petition, it does not appear that there is suf",Denial
Other/Unspecified,"publicly available information as described in the petition, it does not appear that there is suf",Denial
Safety Established,fda believes the current labeling for benzodiazepine products contains the essential scientific information needed for the safe and effective use of,Denial
Other/Unspecified,"discussed below in section ii of this response, your requests are denied",Denial
Other/Unspecified,approved by fda for marketing in the early 1960s,Denial
Other/Unspecified,"other classes of psychotropic drugs can require weeks or months of use to effectively treat the symptoms of anxiety, benzodiazepines have a short ons",Denial
Other/Unspecified,"sified, based on their elimination ha",Denial
Other/Unspecified,their elimination ha,Denial
Other/Unspecified,"ons stated below, we deny your request",Denial
Other/Unspecified,"e law, the agency may approve an anda for a pregabalin product whose labeling omits or carves out either the seizure indication or the pain-related in",Denial
Other/Unspecified,) (held by pfizer inc,Denial
Other/Unspecified,"were approved for management of neuropathic pain associated with diabetic peripheral neuropathy and management of postherpetic neuralgia, respectivel",Denial
Other/Unspecified,adjunctive therapy for adult patients with partial onset seizures (seizure indication),Denial
Other/Unspecified,"and 505(b )(2) ndas, andas, and other applications, to ensure that a manufacturer has in place adequate controls to prevent and detect cross-contamin",Denial
Other/Unspecified,the agency conducts postapproval inspections to ensure continued compliance with cgmps,Denial
Already Addressed/Moot,"stated previously, fda's current thinking regarding cleaning level and validation expectations are already described in several guidance documents",Denial
Premature/Pending Action,"that fda already reviews all pending applications, including 505(b)(1) ndas and 505(b )(2) ndas, andas, and other applications, to ensure that a manu",Denial
Other/Unspecified,"ed on our review of these materials and for the reasons described below, your petition is denied",Denial
Other/Unspecified,"e product, with a postapproval requirement to comply with the new dual scoring configuration of the reference listed drug product (rld) when it conduc",Denial
Other/Unspecified,"used in this response, the term generic drug refers to a new drug product for which approval is sought in an anda submitted under section 5050) of th",Denial
Other/Unspecified,s antimicrobial indicated for the treatment ofthe following:,Denial
Other/Unspecified,"our review of these materials and for the reasons described below, your petition is denied",Denial
Other/Unspecified,"the nda holder conducted new clinical investigations essential to the prevacid otc approval, the nda holder received 3-year exclusivity,2 which expir",Denial
Other/Unspecified,part of the application review process,Denial
Other/Unspecified,"approved on march 24,2005",Denial
Other/Unspecified,approved under the same nda in 2010,Denial
Other/Unspecified,"a sterile, aqueous eye drop",Denial
Other/Unspecified,sociated with its ability to block prostaglandin synthesis by inhibiting cylo-oxygenase (cox) 1 and 2,Denial
Other/Unspecified,approved through a s,Denial
FDA Agrees/Warrants Action,it would be premature and inappropriate to do so at this time,Denial
Other/Unspecified,pect of an anda or nda before the agency has had an opportunity either to fully consider specific data and information in such an application or to pr,Denial
Other/Unspecified,described in section i,Denial
Other/Unspecified,"made no final determination with respect to whether, or on what basis, to approve or not approve any andas or 505(b)(2) ndas for an iron sucrose inje",Denial
Other/Unspecified,consideration ofthe issues r,Denial
FDA Agrees/Warrants Action,"ons stated below, your petition is denied without comment on whether we will agree to undertake the actions that you request",Denial
Other/Unspecified,"purdue learned that king had filed a 505(b)(2) application for remoxy in lune 2008, and purdue had not received notice under section 505(b)(3) of the",Denial
Other/Unspecified,e) tablets (nda 20-553),Denial
Other/Unspecified,not necessary to certify to purdue's patents because the nda had referenced another approved oxycodone product as the listed drug relied on to suppor,Denial
Other/Unspecified,"serts that, because of this exclusivity, ""an anda and 505(b )(2) applicant cannot include the protected jupiter trial data associated with the diabete",Denial
Other/Unspecified,"sociated marketing exclusivity period expires on february 8, 2013"" (petition at 7)",Denial
Other/Unspecified,"trazeneca further notes that ""if fda were to permit a generic or 505(b)(2) drug product to omit (this diabetes related warning and adverse reaction j",Denial
Other/Unspecified,"t aurora road, unit b7 twinsburg, oh 44087 re: citizen petition – docket number fda-2012-p-0153 dear ms",Denial
Other/Unspecified,an accredited person for 510(k) review under the fda modernization act of 1997 without due process,Denial
Other/Unspecified,"an accredited person and the resumption of their [intertek’s] contracted responsibilities to biophotas, a premarket notification sponsor",Denial
Other/Unspecified,carefully considered the issues raised in your petition and other information before the agency,Denial
Other/Unspecified,"ons described below, we are denying your request",Denial
Other/Unspecified,carefully reviewed the information in your petition,Denial
Other/Unspecified,"ons set forth below, your petition is denied",Denial
Other/Unspecified,not approved avastin for the treatment of wet (neovascular) macular degeneration,Denial
Other/Unspecified,a dietary supplement and has not been approved as a drug,Denial
Other/Unspecified,"cular endothelial growth factor (vegf) drugs such as a vastin and lucentis fail to treat macular degeneration in some patients, but resveratrol addres",Denial
Other/Unspecified,successor in interest to lorillard,Denial
Other/Unspecified,"a petition for reconsideration in its header, but identifies as the authority for the submission 21 c",Denial
Other/Unspecified,"that the petition is titled as a petition for reconsideration in its header, but identifies as the authority for the submission 21 c",Denial
Other/Unspecified,two drug products of different strength cannot both be identical in all aspects of composition and conditions of use to a single predicate drug produ,Denial
Other/Unspecified,"on, we use the plural term ""lannett's cocaine hcl products"" throughout this response",Denial
Other/Unspecified,"of its high potential for abuse, cocaine is a controlled substance in schedule ii ofthe controlled substances act (csa), 21 u",Denial
Other/Unspecified,an active ingredient,Denial
FDA Agrees/Warrants Action,"that we agree with your statement on page 15 of the petition that '""grandfather' status does not mean a product is unregulated",Denial
Other/Unspecified,of differences approved under a petition filed under [section 505(j)(2)(c) of the act] or because the new drug and the listed drug are produced or di,Denial
Other/Unspecified,"the labeling approved for the reference listed drug, except for changes required because of differences approved under a petition filed under§ 314",Denial
Other/Unspecified,the drug product and the reference listed drug are produced or distributed by different manufacturers,Denial
Other/Unspecified,the generic drug product and the rld are produced or distributed by different manufacturers,Denial
Other/Unspecified,"purdue's nda should have been filed under section 5050) as an abbreviated new drug application (""anda'') citing [oxa ydo] as the reference listed dru",Denial
FDA Agrees/Warrants Action,"appropriately submitted under a 505(b )(2) nda, refuse to accept the purdue nda for filing, or rescind any acceptance for filing thereof, pursuant to",Denial
Other/Unspecified,a 3 see http://www,Denial
Other/Unspecified,"been present in the labeling since the product was initially approved on june 7, 2011",Denial
Already Addressed/Moot,of exclusivity or an existing patent may be omitted,Denial
Other/Unspecified,the labeling approved for the listed drug,Denial
Other/Unspecified,of differences approved under a petition filed under [section 505(j)(2)(c) of the act] or because the new drug and the listed drug are produced or di,Denial
Other/Unspecified,the generic drug product and the rld are produced or distributed by different manufacturers,Denial
Other/Unspecified,"of""the similarity in the underlying facts between razadyne er and fusilev",Denial
Other/Unspecified,"carefully considered the information submitted in your petition, as well as additional relevant information available to the agency",Denial
Other/Unspecified,"ons set forth below, your requests are denied",Denial
Sufficient Evidence,the single adequate and well-controlled clinical trial reported in the application cannot satisfy the substantial evidence of effectiveness re~uireme,Denial
Other/Unspecified,ons the nda should not be accepted,Denial
Other/Unspecified,"ons stated below, the petition is denied without comment on whether we will take the actions that you request",Denial
Other/Unspecified,provided in your petition for our review which is required under § i 0,Denial
Safety Established,"safe by qualified experts (gras), (2) a dietary ingredient in a dietary supplement, and (3) prior sanctioned",Denial
Other/Unspecified,"ons explained below, the use of phthalates as excipients in dietary supplement would need to comply with the pre-market approval requirements for food",Denial
Other/Unspecified,excipients in dietary supplements is not exempt from the statutory definition of a food additive and therefore requires approval for u,Denial
Other/Unspecified,no authorization for this use,Denial
Other/Unspecified,"well as a november 25, 2014, comment submitted to the docket by momenta (momenta comment)",Denial
Other/Unspecified,"ons described below, the petition is denied",Denial
Other/Unspecified,"it is important to regulate phosphorus intake in individuals with renal impairment, particularly those with hyperphosphatemia (petition at 3)",Denial
Other/Unspecified,"a constituent of the inactive ingredients, obtained both generic and branded samples of the drugs, and sent samples to a laboratory for measurement o",Denial
Other/Unspecified,sociation of analytical communities (aoac) official method 984,Denial
Other/Unspecified,"parenteral products with low ph levels are known to increase the risk of clinically significant adverse events, including thrombophlebitis, pain, and",Denial
Other/Unspecified,a ph that is less than or equal to 3,Denial
Other/Unspecified,aloxi has a more neutral ph range of 4,Denial
Other/Unspecified,these patients have complications and co-morbidities that make them more sensitive to the types of adverse events associated with 1owph products (pet,Denial
Other/Unspecified,"the april 2015 petition; however, as you indicate, the present petition also addresses comments to docket no",Denial
Other/Unspecified,", at that time, the agency had not made a fmal decision on the approvability of any anda for bendamustine hydrochloride",Denial
Other/Unspecified,"that reference treanda as the rld for the treatment ofcll, without approval for the treatment o",Denial
Other/Unspecified,"you are a requestor, as defined in section 505g(q)(3) of the fd&c act and your petition requests a type of relief that could be sought under an omor",Denial
Other/Unspecified,e note that information about the omor process is available on fda’s website2 should you pursue that process for your request,Denial
Other/Unspecified,ked questions available via the otc monographs@fda portal at https://dps,Denial
Other/Unspecified,"reviewed and approved the labeling of the two biosimilar products licensed in the united states, zarxio (filgrastim-sndz) and lnflectra (infliximab-d",Denial
Other/Unspecified,"is, and they should not be understood to reflect a broader policy on how biosimilar products should be labeled",Denial
Other/Unspecified,part of the patient protection and affordable care act (affordable care act) (pub,Denial
Premature/Pending Action,"the treanda nda for the cll indication (nda 022249) was pending when cephal on submitted its application supporting the inhl indication, the inhl app",Denial
Other/Unspecified,considered a second nda rather than a supplement and was assigned nda 022303,Denial
Other/Unspecified,"were approved, the ndas were merged under nda 022249",Denial
Other/Unspecified,"ed, resulting in fewer red blood cells, white blood cells, and platelets",Denial
Other/Unspecified,been further updated since the product was approved for the inhl indic,Denial
Other/Unspecified,"the proposed product's high concentration of active ingredient compared to the reference product, aloxi, creates an unacceptable and unnecessary risk",Denial
Other/Unspecified,therapeutically equivalent to aloxi due to the difference in concentration between the products,Denial
Safety Established,"grounds for your requests, you state that differences between exela's proposed product and aloxi raise significant safety and effectiveness issues; i",Denial
Safety Established,"safe ('gras') for human consumption""; and promulgate regulations that state that (i) aquadvantage salmon and all components of such salmon are food a",Denial
Other/Unspecified,"ons set forth below, your petition is denied without comment on whether we will take the actions you request",Denial
Other/Unspecified,"e tablets) in dosage strengths of 10, 20, and 40 milligrams (mg) in december 1995",Denial
Other/Unspecified,the first extended-release oxycodone product approved by the agency,Denial
Other/Unspecified,original oxycontin),Denial
Other/Unspecified,designed to be administered every 12 hours,Denial
Other/Unspecified,"often abused by manipulating the product to defeat its extended-release mechanism, causing the oxycodone to be released more rapidly",Denial
Other/Unspecified,described in the petition; • “[a]ny [anda] application for a product referencing abraxane have,Denial
Other/Unspecified,"abraxane, except as allowed under 21 c",Denial
Other/Unspecified,"carefully reviewed the information in your petition and the other correspondence posted to the docket, and we deny your requests for the reasons disc",Denial
Safety Established,"er systems for lasik surgery as class iii devices, which are subject to premarket approval to provide a reasonable assurance of their safety and effec",Denial
Safety Established,onable assurance of safety and effectiveness” by weighing any probable benefit to health from use of the device against any probable risk of injury or,Denial
Other/Unspecified,"mentioned in your petition,9 in october 2009 fda launched the lasik quality of life collaboration project (lqolcp)",Denial
Other/Unspecified,"the persons for whose use the device is represented or intended and the conditions of use for the device prescribed, recommended, or suggested in the",Denial
Other/Unspecified,"carefully reviewed the information in your petition and the other correspondence posted to the docket, and we deny your requests for the reasons disc",Denial
Safety Established,"er systems for lasik surgery as class iii devices, which are subject to premarket approval to provide a reasonable assurance of their safety and effec",Denial
Safety Established,onable assurance of safety and effectiveness” by weighing any probable benefit to health from use of the device against any probable risk of injury or,Denial
Other/Unspecified,"mentioned in your petition,9 in october 2009 fda launched the lasik quality of life collaboration project (lqolcp)",Denial
Other/Unspecified,"the persons for whose use the device is represented or intended and the conditions of use for the device prescribed, recommended, or suggested in the",Denial
Other/Unspecified,""" the epipen auto-injector",Denial
Other/Unspecified,"ons stated below, the petition is denied without comment on whether we will take the actions you request",Denial
Other/Unspecified,"reviewed and approved the labeling of the two biosimilar products licensed in the united states, zarxio (filgrastim-sndz) and lnflectra (infliximab-d",Denial
Other/Unspecified,"is, and they should not be understood to reflect a broader policy on how biosimilar products should be labeled",Denial
Other/Unspecified,part of the patient protection and affordable care act (affordable care act) (pub,Denial
Other/Unspecified,"sert that all tf a are harmful, regardless of their origin, and therefore, you argue that our declaratory order is arbitrary and capricious and in vio",Denial
Other/Unspecified,our action does not apply to all sources of tf a,Denial
Safety Established,safe (gras) page 2 - neal d,Denial
Other/Unspecified,"reviewed and approved the labeling of the two biosimilar products licensed in the united states, zarxio (filgrastim-sndz) and lnflectra (infliximab-d",Denial
Other/Unspecified,"is, and they should not be understood to reflect a broader policy on how biosimilar products should be labeled",Denial
Other/Unspecified,part of the patient protection and affordable care act (affordable care act) (pub,Denial
Other/Unspecified,the reference listed drug (rld),Denial
Bioequivalence Demonstrated,"ks fda to adopt the following criteria as part of the bioequivalence demonstration: (1) applicants should measure pauc at 0-tmax and tmax-t, in additi",Denial
Other/Unspecified,"ons stated below, your petition is denied",Denial
Other/Unspecified,e antiepileptic drug approved for use as an adjunctive therapy in the treatment of partial seizures in,Denial
Sufficient Evidence,"it ""does not satisfy the substantial evidence of effectiveness requirement prescribed in section 505(b )(1 )(a)"" of the federal food, drug, and cosme",Denial
Other/Unspecified,"carefully reviewed your petition1 and supplements submitted by your counsel dated july 29, 2015 (otsuka supplement 1); august 5, 2015 (otsuka supplem",Denial
Other/Unspecified,"ons described above, the petition is denied",Denial
FDA Agrees/Warrants Action,application as appropriate,Denial
Other/Unspecified,part of the application review process,Denial
Other/Unspecified,is indication from the product's labeling,Denial
Other/Unspecified,the drug price competition and patent term restoration act of 1984 (public law 98-417) (the hatch- waxman amendments) created section 505(j) of the f,Denial
Other/Unspecified,the reference listed drug [(rld)],Denial
Safety Established,"sociated delivery device collectively provide for"" specified features that the petition asserts are ""necessary for the safe and effective administrati",Denial
Other/Unspecified,"sign a bx rating to follow-on inhaled nitric oxide/nods products, indicating that the products are not therapeutically equivalent to the combination p",Denial
Safety Established,it proposes use of a drug delivery device that lacks certain important safety features provided by the delivery devi,Denial
Other/Unspecified,the information that you have placed before the agency makes your patent use code for ' 130 patent uninterpretable? based on statements in your petit,Denial
Other/Unspecified,"t interpretable patent use code submitted for the ' 130 patent, which is the use code submitted before depomed's september 2015 revisions",Denial
FDA Agrees/Warrants Action,"statements in your petition, fda believes that depomed might misunderstand fda's regulations and practice regarding appropriate use codes",Denial
Other/Unspecified,"e, but not buffer release stages",Denial
Other/Unspecified,increased acid resistance,Denial
Other/Unspecified,"e doryx mpc strength with the eq 100 mg base doryx 3 see doryx labeling, available at https://labels",Denial
Other/Unspecified,ed in vitro acid resistance and therefore contain more of the active ingredient to account for reduced bioavailability,Denial
Other/Unspecified,e and eq 120 mg base doryx mpc strengths have comparative bioavaila,Denial
Other/Unspecified,that the eq 60 mg base and eq 120 mg base doryx mpc strengths have comparative bioavaila,Denial
Other/Unspecified,"ons stated below, your petition is denied without comment on whether we will take the actions you request",Denial
Other/Unspecified,o nda tyvaso (treprostinil) inhalation solution is indicated for the treatment of pulmonary arterial hypertension to improve exercise ability,Denial
Other/Unspecified,"o nda includes the tyvaso inhalation system patient starter kit, which contains the tyvaso inhalation system (i",Denial
Other/Unspecified,"onic, pulsed-delivery nebulizer and its accessories) and a 28-day supply oftreprostinil ampules",Denial
Other/Unspecified,"o nda also includes the tyvaso inhalation system refill kit, containing another 28-day supply oftreprostinil ampules and device components that requir",Denial
Other/Unspecified,"o nda includes two additional package presentations: 1) the tyvaso inhalation system institutional starter kit, which contains the tyvaso inhalation s",Denial
Other/Unspecified,"ons stated in section ii of this response, we are denying your petition",Denial
Other/Unspecified,a food additive petition,Denial
Other/Unspecified,"ons stated below, your petition is denied without comment on whether we will take the actions you request",Denial
Other/Unspecified,one propionate (a corticosteroid) and salmeterol (a long-acting beta2-adrenergic agonist) in a powder formulation for oral inhalation,Denial
Other/Unspecified,thma in patients ages 4 years and older and for maintenance treatment of airflow obstruction and reducing exacerbations in patients with chronic obstr,Denial
Other/Unspecified,"one propionate/50 meg salmeterol, 250 meg fluticasone propionate/50 meg salmeterol, and 500 meg fluticasone propionate/50 meg salm",Denial
FDA Agrees/Warrants Action,the agency said “pink eye” was not appropriate for self-diagnosis and nonprescription management,Denial
Other/Unspecified,an changed the name on the product label to “irritated eye relief” and removed all references to “pink eye” and re-launched the product (petition at 1,Denial
Other/Unspecified,an has apparently resumed marketing a product called “pink eye relief,Denial
Safety Established,e- prevention purposes in livestock production because such use is not shown to be safe for human health,Denial
Other/Unspecified,"e-prevention and will have little, if any, impact on the routine use of medically important antimicrobials in livestock production",Denial
Other/Unspecified,"that, although your petition uses the term “antibiotic,” fda’s center for veterinary medicine (cvm) generally uses the broader term “antimicrobial",Denial
FDA Agrees/Warrants Action,it would be premature and inappropriate to do so at this time,Denial
Other/Unspecified,pect of an anda or 505(b )(2) application before the agency has had an opportunity either to fully consider specific data and inf01mation in such an a,Denial
Other/Unspecified,"noted, lilly requests that fda refrain from approving any anda for a teriparatide product 3 ""therapeutic equivalents are approved drug products that",Denial
Safety Established,"been demonstrated, and that can be expected to have the same clinical effect and safety profile when administered to patients under the conditions sp",Denial
Other/Unspecified,"ons stated below, your petition is denied insofar as the agency continues to consider the complex scientific issues you raise and is unable to resolve",Denial
Other/Unspecified,"e capsules (9 milligram (mg), 13",Denial
Safety Established,"es, to assure the safety and rights of subjects, and, in phase 2 and phase 3, to help assure that the quality of the scientific evaluation of drugs is",Denial
Other/Unspecified,drug-device combination products that require review by the center for drug evaluation and research (cder) and the center for devices and radiologica,Denial
Other/Unspecified,"hion • ""(r]efuse to approve an application submitted under section 505 of the federal food, drug and cosmetic act citing inomax as the reference liste",Denial
Safety Established,"sociated delivery device collectively provide for"" specified features that the petition asserts are ""necessary for the safe and effective administrati",Denial
Other/Unspecified,"sign a bx rating to follow-on combination inhaled nitric oxide/nods products, indicating that the products are not therapeutically equivalent to the c",Denial
Other/Unspecified,"ons stated below, your petition is denied without comment on whether we will take the actions you request",Denial
Other/Unspecified,o nda tyvaso (treprostinil) inhalation solution is indicated for the treatment of pulmonary arterial hypertension to improve exercise ability,Denial
Other/Unspecified,"o nda includes the tyvaso inhalation system patient starter kit, which contains the tyvaso inhalation system (i",Denial
Other/Unspecified,"onic, pulsed-delivery nebulizer and its accessories) and a 28-day supply oftreprostinil ampules",Denial
Other/Unspecified,"o nda also includes the tyvaso inhalation system refill kit, containing another 28-day supply of treprostinil ampules and device components that requi",Denial
Other/Unspecified,"o nda includes two additional package presentations: 1) the tyvaso inhalation system institutional starter kit, which contains the tyvaso inhalation s",Denial
Other/Unspecified,"ed on our review of this information and for the reasons described below, the petition is denied",Denial
Other/Unspecified,"submitted through the pathway described in section 505(b)(2) of the federal food, drug, and cosmetic act (fd&c act) (21 u",Denial
Other/Unspecified,sociated with weight 1 e,Denial
Other/Unspecified,"our review of this information and for the reasons described below, the petition is denied",Denial
Other/Unspecified,"s emily marden sidley austin llp 1501 k street, n",Denial
Other/Unspecified,of underlying genetic differences in cyp2d6 activity,Denial
Premature/Pending Action,"of this variability, depending on cyp2d6 activity, patients may be at risk for therapeutic failure (i",Denial
Other/Unspecified,“ultra-rapid metabolizers” metabolize standard doses of codeine into high circulating levels of morphine),Denial
Other/Unspecified,"sified as a poor, normal/intermediate, or ultra-rapid metabolizer",Denial
Other/Unspecified,"no fda-cleared, approved or authorized genetic test for cyp2d6 polymorphisms that is intended for use in making treatment decisions regarding codeine",Denial
Other/Unspecified,"ons stated below, your petition is denied without comment on whether we will take the actions you request",Denial
Other/Unspecified,a radioactive diagnostic agent indicated for the assessment of thyroid function and for thyroid imaging,Denial
Other/Unspecified,"added by section 914 ofthe food and drug administration amendments act of2007 (fdaaa) (public law 110-85, 121 stat",Denial
Safety Established,"amended by the food and drug administration safety and innovation act (public law 112-144, 126 stat",Denial
Other/Unspecified,"ed on our review of these materials, and for the reasons stated below, your petition is denied",Denial
Other/Unspecified,"e caused by chronic inflammation and destruction of the airways and lung parenchyma, and is usually associated with tobacco smoking or u",Denial
Other/Unspecified,e is characterized by progressive airflow obstruction that is sometimes partially reversible with the administration of a bronchodilator,Denial
Other/Unspecified,"e activity and nature of symptomatic impairment experienced by patients varies, the typical symptoms are cough, excess sputum production, and dyspnea",Denial
Other/Unspecified,"ses a spectrum of pulmonary processes, with chronic bronchitis and emphysema as two clearly defined entities within that spectrum",Denial
Other/Unspecified,"our review of these materials, and for the reasons stated below, your petition is denied",Denial
Other/Unspecified,pressing need to devel,Denial
Premature/Pending Action,we had not yet made a final decision on whether or not to approve any such applications,Denial
Other/Unspecified,these earlier citizen petitions,Denial
Other/Unspecified,"ons stated below, your petition is denied without comment on whether we will take the actions you request",Denial
Other/Unspecified,o nda tyvaso (treprostinil) inhalation solution is indicated for the treatment of pulmonary arterial hypertension to improve exercise ability,Denial
Other/Unspecified,"o nda includes the tyvaso inhalation system patient starter kit, which contains the tyvaso inhalation system (i",Denial
Other/Unspecified,"onic, pulsed delivery device and its accessories) and a 28-day supply of treprostinil ampules",Denial
Other/Unspecified,"o nda also includes the tyvaso inhalation system refill kit, containing another 28-day supply of treprostinil ampules and device components that requi",Denial
Other/Unspecified,o nda includes two a,Denial
Other/Unspecified,your current petition makes the same substantive arguments as these earlier citizen petitions,Denial
Premature/Pending Action,"explained below, we deny your petition because fda believes it would be premature to make a determination at this time regarding your specific reques",Denial
Other/Unspecified,e or long-acting (er/la) opioids indicated for long-term use (march 2017 petition),Denial
Other/Unspecified,soon as we have reached a decision on your request,Denial
Other/Unspecified,"s of powerful pain-relieving agents that include oxycodone, hydrocodone, and morphine, among others",Denial
Other/Unspecified,"ons stated below, your petition is denied without comment on whether we will take the actions you request",Denial
Other/Unspecified,one propionate (a corticosteroid) and salmeterol xinafoate (a long-acting beta2-adrenergic agonist) in a powder formulation for oral inhalation,Denial
Other/Unspecified,thma in patients ages 4 years and older and for maintenance treatment of airflow obstruction and reducing exacerbations in patients with chronic obstr,Denial
Other/Unspecified,"submitted on behalf of your clients, atnahs pharma us ltd",Denial
Other/Unspecified,unavailable in the market or was available in such limited quantities that a potential abbreviated new drug application (anda) applicant may not be a,Denial
Other/Unspecified,the new reference standard for,Denial
Other/Unspecified,"ons set forth below, your petition is denied in part and granted in part",Denial
Other/Unspecified,"e/2 ml (eq 10 mg base/ml), which references neoprofen",Denial
Other/Unspecified,"previously held by exela pharma science and is now held by x-gen pharmaceuticals, inc (x-gen)",Denial
Other/Unspecified,"ons 1 apotex first submitted this citizen petition to fda on april 21, 2017 (docket no",Denial
Other/Unspecified,"not be considered because it did not contain the certification required by section 505(q) of the federal food, drug, and cosmetic act (fd&c act)",Denial
Other/Unspecified,"submitted, docket no",Denial
Safety Established,s basis was adopted after the fd&c act was amended in 1962 to require proof of efficacy as well as safety,Denial
Safety Established,"/e, there must be a general consensus of qualified experts that a drug is safe and effective for its intended uses, based on substantial evidence from",Denial
Sufficient Evidence,substantial evidence from adequate and well controlled clinical investigations,Denial
Other/Unspecified,"ons stated below, the petition is denied",Denial
Other/Unspecified,"ed on our review and consideration of these materials, and for the reasons described below, we deny the petitions",Denial
Other/Unspecified,"our review and consideration of these materials, and for the reasons described below, we deny the petitions",Denial
Other/Unspecified,than the agency applied to its review ofnda 208411 for narcan (naloxone hydrochloride) nasal spray (narcan nasal spray) or commit to applying differe,Denial
FDA Agrees/Warrants Action,"than are appropriate under section 5050) of the federal food, drug, and cosmetic act (fd&c act)",Denial
