Document_ID,Docket_ID,Document_Title,Petitioner,FDA_Center,Decision,Enhanced_Category,Confidence,Key_Phrases,Rationale_Text,Document_Link
FDA-2005-P-0256-0002,FDA-2005-P-0256,Citizen Petition Denial Response Letter from FDA CDER to Public Citizen,Public Citizen,CDER,Denied,Procedural - Already Addressed/Moot,medium,moot,". You state that pemoline should not be marketed because the drug is known to have caused at least 21 cases of liver failure and has no unique therapeutic benefit over other drugs for the treatment of attention deficit hyperactivity disorder (ADHD) . Abbott informed FDA on March 24, 2005, that it intended to discontinue marketing Cylert . Abbott ceased commercial distribution of Cylert on September 16, 2005 . The generic firms that marketed pemoline under abbreviated new drug applications have also ceased marketing the drug . Because all pemoline products have been removed from the market, the outcome sought by your petition has been achieved and thus, as a practical matter, your petition is moot . Furthermore, to the extent your petition seeks withdrawal of any drug's approval under section 505(e) of the Federal Food, Drug, and Cosmetic Act, FDA does not find such additional action necessary at this time because the drugs are no longer being marketed . Thus, FDA denies any such request in your petition . FDA has not aske",
FDA-2007-P-0110-0004,FDA-2007-P-0110,FDA/CDER to Physicians Committee for Responsible Medicine - Petition Denial,Physicians Committee For Responsible Medicine (Pcrm),CDER,Denied,Procedural - Already Addressed/Moot,medium,current,"s for managing diabetes"" (Petition at l). We have reviewed your petition, and for the reasons described below, your petition is denied. 1 I. BACKGROUND A. Approved Thiazolidinedione Products In 1999, FDA approved rosiglitazone maleate (Avandia, new drug application (NDA) 21­ 07]) and pioglitazone hydrochloride (Hel) (Actos, NDA 21-073). Rosiglitazone maleate and pioglitazone HCl are currently the only two approved and marketed active ingredients in the thiazolidinedione class. The products in this class are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus (""type 2 diabetes""). In addition to the two single agent products, Avandia and Actos, the Agency has also approved two combination products that contain rosiglitazone maleate together with another antidiabetic active ingredient. They are Avandamet (rosiglitazone maleate combined with metformin Hel, NDA 21-410, approved in 2002) and Avandaryl (rosiglitazone maleate combined with glimepiride, NDA 21-700, app",
FDA-2007-P-0113-0028,FDA-2007-P-0113,Citizen Petition Denial Response from FDA CDER to Sidley Austin LLP,Celgene Corporation,CDER,Denied,Other Denial Reason,low,,"ighs the benefits of a single system, taking into consideration the impact on health care providers, patients, the applicant for the abbreviated new drug application, and the holder of the reference drug product"" (section 505-l(i)(1 )(B)(i) ofthe FD&C Act). 10 If a waiver of the single, 7 A listed drug is a drug that FDA has approved (21 CFR 314.3). A reference listed drug is an approved drug that is referenced by an ANDA applicant as a basis for approval of that ANDA (id.). 8 Section 505-1 of the FD&C Act applies to any application for approval of a prescription drug submitted under section 505(b) or (j) of the FD&C Act (thus including both NDAs (including those submitted under section 505(b)(2)) and ANDAs submitted under section 505(j)), as well as applications submitted under section 351 of the Public Health Service Act (section 505-l(b)(2) of the FD&C Act, which references section 505(p)(l)(A)). 9 Medication Guides, which are part of approved labeling (see 21 CFR 208), are subject to the FD&C Act's same labeling requirem",
FDA-2007-P-0245-0005,FDA-2007-P-0245,"FDA/CDER to Kleinfeld, Kaplan and Becker, LLP (Purdue Pharma L.P) - Petition Denial",Purdue Pharma L.P.,CDER,Denied,Procedural - Premature/Pending,medium,"prior to, moot, scope","on was moot. As explained in the letter, FDA had reviewed the OxyContin labeling supplements and issued letters stating that each of the three supplements was not approvable. Because the labeling supplements were not approvable, the labeling for a generic version of OxyContin was not required to include the language regarding the RiskMAP that Purdue proposed in its supplements. FDA's letter also explained that approval of a RiskMAP of the scope and nature described in Purdue's January 13, 2004, supplement was not necessary prior to implementation of the RiskMAP, and in light of the fact that generic products will have RiskMAPs consistent with that for OxyContin, the petition for stay was moot with regard to that issue. C. Risk Evaluation and Mitigation Strategies 1. Food and Drug Administration Amendments Act On September 27,2007, the Food and Drug Administration Amendments Act of2007 (FDAAA) was enacted. Title IV, Subtitle A, section 901 ofFDAAA created new section 505-1 of the Federal Food, Drug, and Cosmetic Act (the",
FDA-2000-P-0918-0001,FDA-2000-P-0918,Denial Letter from CFSAN to Public Voice for Food ,CFSAN to Public Voice for Food,CFSAN,Denied,Procedural - Administrative Deficiency,high,"21 cfr 10, cfr 10, already","(CFR), section 10.30(e)(3)(21 CFR 10.30(e)(3)), we are denying the petitions. A regulatory limit is established by informal (notice-and-comment) rulemaking and has the force of law. Once a regulatory limit has been established, a food is adulterated under section 402(a)(l) ofthe Federal Food, Drug & Cosmetic Act (FD&C Act) simply by exceeding it. See 21 CFR 109.4(b). Such a limit is binding on food producers as well as on FDA and the courts. An action level, on the other hand, which FDA has already established for methylmercury in seafood, is a ""level of contamination at which a food may be regarded as adulterated."" 21 CFR 109.4(c)(1). Action levels provide guidance on the circumstances under which the agency would consider taking regulatory action. Even if an action level has been established, each time FDA wishes to remove food from commerce that equals or exceeds the action level, FDA has the burden of establishing de novo in an enforcement proceeding that the food is adulterated. Thus, 1 The organization Public Voice",https://www.regulations.gov/document/FDA-2000-P-0918-0001
FDA-2003-P-0117-0001,FDA-2003-P-0117,Petition Denial from FDA CDER to Zuckerman Spaeder,FDA CDER to Zuckerman Spaeder,CDER,Denied,Procedural - Already Addressed/Moot,medium,moot,"ment, as recounted above, are moot. Accordingly, because we need not make these determinations to resolve your Petition, the requests in the Petition and at (1) and (2) of the Supplement, above, are denied. We acknowledge that this response does not address the substance of the question essentially posed by the Petition (i.e., whether marketing of a product approved under section 505(b)(2) of * See comments from James N. Czaban, Esq., Heller Ehrman White & McAuliffe LLP, on behalf of Wyeth, dated March 13,2003, at 1 and 4, and April 25,2003, at 3. 2 SeeSupplement at 1 and 3. the Act constitutes “commercial marketing” of a generic version of that product under section 505(j)(5)(B)(iv)(I) of the Act). As noted above, this issue is moot in the specific situation at hand. However, if Andrx should perceive a general need for FDA to articulate its position on this issue, it may communicate this need to the Agency, and seek the development of generally applicable guidance, in the manner provided for by FDA’s good guidance practic",https://www.regulations.gov/document/FDA-2003-P-0117-0001
FDA-2009-P-0039-0008,FDA-2009-P-0039,Citizen Petition Denial Response from FDA CDER Let,FDA CDER Let,CDER,Denied,Procedural - Administrative Deficiency,high,"regulation, format, current","ved the drug with restrictions to assure safe use because the Agency concluded that the drug can be safely used only if distribution or use is restricted (e.g., under 21 U.S.C. § 355-1(f)(3)). There may be other situations in which a boxed warning may be appropriate to highlight infonnation that is especially important to a prescriber. 4. Medication Guides A Medication Guide is FDA-approved patient labeling that confonns to the specifications in 21 CFR Part 208 and other applicable regulations. These regulations apply to certain drug and 5 Some factors that may be relevant are discussed in the FDA draft guidance for industry, Warnings and Precautions, Contraindications, and Boxed Warnings Sections 0/Labeling/or Human Prescription Drug and Biological Products - Content and Format (Draft Warnings and Precautions Guidance) (Guidances are available on FDA's website at http://www.fda.gov/cder/guidance/index.htm. The draft guidance, when fmalized, will represent FDA's current thinking on this topic.) 3 biological products tha",https://www.regulations.gov/document/FDA-2009-P-0039-0008
FDA-2011-P-0347-0007,FDA-2011-P-0347,Petition Denial Letter from FDA CDER to VPNA,FDA CDER to VPNA,CDER,Denied,Other Denial Reason,low,,"mith: This is in response to your petition for reconsideration and stay of action received on March 7, 2013 (Reconsideration Petition). The Reconsideration Petition requests that the U.S. Food and Drug Administration (FDA or Agency) reconsider its January 28, 2013 response (Original Petition Response) granting the suitability petition submitted by Lachman Consultant Services, lnc. on May 10, 2011 (Original Petition). The Original Petition requested that FDA permit the filing of an Abbreviated New Drug Application (ANDA) for the following drug product: minocycline hydrochloride extended-release tablets, 70 mg and 95 mg. The listed drug product referred to in the Original Petition is Solodyn (minocycline hydrochloride) extended-release tablets, 135 mg, approved under NDA 050808 held by Medicis Pharmaceutical Corporation (Medicis). The Reconsideration Petition requests that FDA reconsider and reverse the approval of the Original Petition. The Reconsideration Petition also requests that FDA stay the effective date of approval o",https://www.regulations.gov/document/FDA-2011-P-0347-0007
FDA-2011-P-0515-0004,FDA-2011-P-0515,Petitions Response to Pharmacists Planning Service,Pharmacists Planning Service,,Denied,Procedural - Already Addressed/Moot,high,"prior to, format, existing","state that PSE should be removed from the market because it is frequently diverted to the ilegal manufacture of methamphetamine. You state that ""meth-related activity"" is on the rise nationally, and that existing measures to combat the diversion ofPSE to manufacture methamphetamine have been inadequate. You also maintain that because there are non-precursor alternatives that can replace PSE, PSE should be removed from the market. We have considered the arguments in your petition and, for the reasons set forth below, your petition is denied. 1. BACKGROUND: A. Pseudoephedrine (PSE) Pseudoephedrine is used to relieve nasal or sinus congestion caused by the common cold, sinusitis, and respiratory allergies. Prescription PSE drug products and some over-the- counter (OTC) PSE drug products are subject to the new drug application (NDA) process, in which manufacturers submit a variety of required safety and effectiveness information to FDA for review and approval prior to marketing. However, the majority of OTC PSE drug products are regulate",https://www.regulations.gov/document/FDA-2011-P-0515-0004
FDA-2011-P-0852-0004,FDA-2011-P-0852,FDA CDER Response to Dr S Albert Edwards Petition ,Dr S Albert Edwards Petition,CDER,Denied,Other Denial Reason,low,,"d health programs. The task force concluded that because computer processing of claims must be an integral part of such programs, there was an urgent need for a standardized drug product identification or coding system that could be used in computerized systems. The task force also found that a standardized drug coding system was needed for drug manufacturers, re-packers, wholesalers, and others to facilitate the processing of transactions that occur as a drug moves through routine commercial channels. The Department of Health, Education, and Welfare assigned the task of developing and operating the NDC system to FDA. In 1967 and 1968, FDA held meetings with representatives of govermnent agencies and the private sector to develop a voluntary coding system. In the Federal Register of July 2, 1969,2 FDA announced the NDC I We understand your use of the word ""unapproved"" to refer to drugs without approved new drug applications (NDAs) or abbreviated new drug applications (ANDAs). ""Unapproved,"" as used in this response, reta",https://www.regulations.gov/document/FDA-2011-P-0852-0004
FDA-2011-P-0641-0007,FDA-2011-P-0641,Citizen Petition Denial Response from FDA CDRH to ,FDA CDRH to,CDRH,Denied,Procedural - Administrative Deficiency,high,"regulation, submission","a premarket approval application (PMA). FDA has reviewed your petition and, as we discuss below, we share some of the concerns outlined there. However, the agency does not believe that a ban or recall of non-absorbable surgical mesh for transvaginal repair of POP is warranted at this time. Further, a citizen petition is not the appropriate mechanism for requesting a reclassification of a device. See 21 C .F .R. 10.30(a) and 21 C.P.R. 860.130. Reclassification petitions must be filed in accordance with 21 C.P.R. 860.123. Your request does not meet the content and form requirements of that regulation. Although we are denying yoirr requests for a ban and a recall, we are taking actions, described later in this response, to address many of the concerns you discuss in your citizen petition. I. Background Beginning in 1992, the FDA cleared premarket notification (510(k)) submissions for surgical mesh indicated for POP repair under the general surgical mesh regulation 21 C.P.R. 878.3300. Surgical mesh is a medical device that",https://www.regulations.gov/document/FDA-2011-P-0641-0007
FDA-2011-P-0022-0008,FDA-2011-P-0022,Citizen Petition Denial Response from FDA CDRH to ,FDA CDRH to,CDRH,Denied,Procedural - Premature/Pending,medium,"before, format","lso offer your own analyses of the data. FDA has reviewed the information in your petition and is denying your petition for the reasons discussed below. I. Standard for PMA Withdrawal Has Not Been Met and a Public Health Advisory with a Voluntary Recall Is Not Warranted Section 515(e)(l) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) and 21 CFR 814.46(a) set forth the standards for withdrawing approval of a PMA application. These include2 when FDA finds that: • The device is unsafe or ineffective under the conditions of use prescribed, recommended, or suggested in the labeling ofthe device, section 515(e)(l)(A) of the FD&C Act; • On the basis of new information before FDA with respect to the device, evaluated together with the evidence available when the application was approved, there is a failure to show reasonable assurance that the device is safe or effective under the conditions of use prescribed, recommended, or suggested in the labeling of the device, section 515(e)(l)(B) ofthe FD&C Act; 1 The term ""L",https://www.regulations.gov/document/FDA-2011-P-0022-0008
FDA-2012-P-0298-0012,FDA-2012-P-0298,Agency Response to The Joseph Dedvukaj Firm   P C ,The Joseph Dedvukaj Firm   P C,,Denied,Procedural - Administrative Deficiency,medium,"regulation, moot","., for Lorcaserin 10 mg BID and 10 mg QD. The FDA reviewed the NDA for Lorcaserin according to its established procedures and approved the application on June 27, 2012, pursuant to section 505(c) of the Food, Drug, and Cosmetic Act (21 U.S.C. 355(c)). Since the Lorcaserin NDA has now been approved, your Petition is denied as moot. Sincerely ~ Janet Woodcock, M.D. . Director Center for Drug Evaluation and Research 1 These documents and the public comments submitted on the Petition can be viewed electronically at http://www.regulations.gov/ in docket number FDA-20 12-P-0298.",https://www.regulations.gov/document/FDA-2012-P-0298-0012
FDA-2014-P-1773-0005,FDA-2014-P-1773,Citizen Petition Denial Response Letter from FDA C,FDA C,,Denied,Procedural - Administrative Deficiency,medium,regulation,"on, phthalates raise a number of safety concerns because they function as endocrine disrupters that ""limit or block the 1 The PPSI Petition also requested that FDA issue a regulation to eliminate the use of phthalates in ""herbal dietary supplement products."" The Agency issued a response denying that request on October 6, 2015. Letter from Steven Musser, Deputy Director for Scientific Operations, Center for Food Safety and Applied Nutrition (CFSAN) to Frederick S. Mayer, President, Pharmacists Planning Service, Inc., Docket No. FDA- 20 14-P-1773 (Oct. 6, 20 15). 2 ANH Petition at 1 . 3 Id. at 2. U.S. Food & Drug Adninistration 10903 New Harrpshire Avenue Silver Spring, MJ 20993 www.fda gov Docket Nos. FDA-2014-P-0862 and FDA-2014-P-1773 body's natural levels of estrogen, testosterone, and other hormones.""4 In addition, the ANH Petition states that ""exposure to phthalates also can cause cognitive and behavioral problems in children"" and raises other potential health risks. 5 The need to address the potential risks of pht",https://www.regulations.gov/document/FDA-2014-P-1773-0005
FDA-2014-P-1685-0004,FDA-2014-P-1685,Petition Denial Letter,,ORA,Denied,Other Denial Reason,low,,"at 1-2. 3 Id. 4 I d. at 2. As set forth below, consideration of costs or potential effects on the implementation of the Affordable Care Act (Public Law I I 1-148) is not among the relevant statutory and regulatory obligations governing the prescription or nonprescription status of oral contraceptive drug products. This response does not address these considerations. U.S. Food & Drug Administration 10903 New Harrpshire Avenue Silver Spring, MD 20993 www.fda.gov Docket No. FDA-2014-P-1685 I. BACKGROUND The Petition broadly requests nonprescription status for ""oral contraceptive drug products.""5 In assessing a request for nonprescription status for OCs, however, it is important to distinguish between the different types of OCs because their safety and efficacy profiles vary substantially. The two major types of OCs marketed today are progestin-only oral contraceptives (progestin- only pills or POPs) and combination oral contraceptives (COCs). First approved in 1973, POPs do not include an estrogen component.6 POPs preve",https://www.regulations.gov/document/FDA-2014-P-1685-0004
FDA-2014-P-0144-0003,FDA-2014-P-0144,Citizen Petition Denial Response from FDA CDER to ,FDA CDER to,CDER,Denied,Other Denial Reason,low,,"abolite. For some of these drug products, FDA can review data from PD effect studies to assess bioequivalence.8 For others, however, no PD endpoints can be readily measured. In these 7 21 CFR 320.24. Whereas a PK study measures the rate and the extent to which the drug is delivered to biological fluids (generally the bloodstream), a pharmacodynamic study measures effects associated with the delivery of the active ingredient to the site of action. 8 See 21 CFR 320.24(b)(3). For example, FDA accepts PD effect bioequivalence studies for generic versions of corticosteroids. Studies evaluating blanching or vasoconstriction of the skin microvasculature provide evidence for the amount of drug entering the skin and thus serve as the basis for comparing drug delivery from two potentially 3 Docket No. FDA-2014-P-0144 cases, FDA often relies on data from ""appropriately designed comparative clinical trials"" or, in appropriate cases, from in vitro studies to assess bioequivalence (21 CFR 320.24(b)(4)-(5)).9 FDA has issued draft guidanc",https://www.regulations.gov/document/FDA-2014-P-0144-0003
FDA-2015-P-0059-0013,FDA-2015-P-0059,Denial response letter from FDA CFSAN to Center fo,FDA CFSAN to Center fo,CFSAN,Denied,Procedural - Administrative Deficiency,high,"21 cfr 10, cfr 10","trated caffeine marketed as a dietary supplement because it presents a ""significant or unreasonable risk of illness or injury"" or an ""imminent hazard to public health;"" or • Specify limits on the form in which caffeine is sold, including its labeling, serving sizes, and potency, to minimize the risk of accidental overdose by all potential users, including younger consumers. The Petition states that, as of the date of the Petition, pure or highly concentrated caffeine was sold in bulk online in a powder form by retailers of dietary supplements (Petition at page 3). Supplement 2 states that pure caffeine is widely available for purchase online in powdered, liquid, and inhalable forms (Supplement 2 at page 2). U.S. Food and Drug Administration Center for Food Safety & Applied Nutrition 5001 Campus Drive College Park, MD 20740 www.fda.gov Page 2 - Dr. Jacobson and Ms. MacCleery In accordance with 21 CFR 10.30(e)(3), after careful review and consideration of the Petition, Supplement 1, and Supplement 2, we are denying the",https://www.regulations.gov/document/FDA-2015-P-0059-0013
FDA-2015-P-3020-0009,FDA-2015-P-3020,Petition Denial Letter from FDA CFSAN to WVE,FDA CFSAN to WVE,CFSAN,Denied,Procedural - Administrative Deficiency,high,"before, 21 cfr 10, cfr 10","-4), and consumer complaints from online product reviews of five different feminine wash products (Petition at pages 5-9). In accordance with 21 CFR 10.30(eX3), and for the reasons stated below, we are denying your petition. As background, cosmetic products and ingredients (except color additives) and labeling are not subject to premarket approval by FDA. Manufacturers are not required to provide us information about the safety of their cosmetic products. A color additive must be shown to be safe and be approved by FDA before it may be used in or on food, in or on drugs or devices, or in or on cosmetics (see section 721(a) ofthe Federal Food, Drug, and Cosmetic Act (FD&C Act) (21 U.S.C. 379e(a) and 21 CFR parts 73, 74, or 82 for a listing of color additives in cosmetics)). When we approve the use of a color additive, our regulations specify permitted uses and restrictions as well as labeling requirements. With respect to your request that we issue guidance for the ""appropriate use of colorants in feminine hygiene cosmetics",https://www.regulations.gov/document/FDA-2015-P-3020-0009
FDA-2015-P-1924-0007,FDA-2015-P-1924,Citizen Petition Denial Response Letter from FDA C,FDA C,,Denied,Substantive - FDA Disagrees,medium,not support,"tion, you requested that “[u]pon the receipt and review of any premarket notification submitted under section 510(k) of the Act for the Zeltiq CoolSculpting System or a similar Zeltiq device for treatment of the submentum,” FDA “issue an order declaring the device to be not substantially equivalent (NSE) to any legally marketed predicate device if the notification does not demonstrate the same intended use as a predicate device, or in the alternative, if it is not supported by clinical evidence necessary to demonstrate the safe and effective use of the device for the proposed indication of submental fat reduction.” In your petition, you stated that the FDA-cleared lipolysis indications for the Zeltiq CoolSculpting System are limited to the thigh, abdomen, and flank treatment areas. To support your statement, you provide a table that you describe as highlighting the regulatory history of the Zeltiq CoolSculpting System by summarizing the main indications cleared by FDA as well as additional cleared indications in Attachme",https://www.regulations.gov/document/FDA-2015-P-1924-0007
FDA-2016-P-2955-0088,FDA-2016-P-2955,Response from FDA CBER to Nicholas Isel Redacted,FDA CBER to Nicholas Isel Redacted,CBER,Denied,Procedural - Administrative Deficiency,medium,regulation,"exist. We appreciate your concern. However, after careful review and consideration, we deny the Petition for the reasons set forth below. Page 2 – Nicholas Isel DISCUSSION I. BACKGROUND FDA is an agency within the Department of Health and Human Services (HHS) and, by delegation from the Surgeon General and the Secretary of HHS, has authority under section 361 of the PHS Act to: make and enforce such regulations as in [FDA’s] judgment are necessary to prevent the introduction, transmission, or spread of communicable diseases from foreign countries into the States or possessions, or from one State or possession into any other State or possession. For purposes of carrying out and enforcing such regulations, [FDA] may provide for such inspection, fumigation, disinfection, sanitation, pest extermination, destruction of animals or articles found to be so infected or contaminated as to be sources of dangerous infection to human beings, and other measures, as in [FDA’s] judgment may be necessary. PHS A",https://www.regulations.gov/document/FDA-2016-P-2955-0088
FDA-2016-P-2955-0339,FDA-2016-P-2955,Denial letter on petition and petition for reconsi,,,Denied,Procedural - Administrative Deficiency,high,"administrative, 21 cfr 10, cfr 10","14 mrozovics@rozovicslaw.com RE: Request for Review under 21 CFR 10.75 Ms. Rozovics: The purpose of this letter is to notify you that I am denying your request for review under 21 CFR 10.75, which you submitted on behalf of Nicholas Isel. Your request seeks review of a decision made by Lowell Schiller, Principal Associate Commissioner for Policy, with respect to your previous request for administrative reconsideration under 21 CFR 10.33. I have determined, in my discretion, that additional agency review is not warranted. As evidenced by the written decisions denying both your original citizen petition and your petition for reconsideration, the agency has already thoroughly reviewed your arguments and the information submitted in support. Sincerely, Stephen M. Hahn, M.D. Commissioner of Food and Drugs cc: Lowell Schiller, J.D., Pri",https://www.regulations.gov/document/FDA-2016-P-2955-0339
FDA-2016-P-1249-0004,FDA-2016-P-1249,Citizen Petition Denial Response from FDA CDER to ,FDA CDER to,CDER,Denied,Procedural - Administrative Deficiency,high,"21 cfr 10, cfr 10, submission","21 CFR 10.30 generally govern the submission and review of citizen petitions. Under § 10.30(k), citizen petitions may not be used for ""the referral of a matter to a United States attorney for the initiation of court enforcement action and related correspondence."" The Petition asserts that its ""requested action is appropriate subject matter for a petition"" because it ""does not seek referral of a matter to a United States attorney for the initiation of court enforcement action.""4 According to the Petition, § 10.30(k) ""refers only to court enforcement action by a United States Attorney.""5 But by its terms, § 10.30(k) not only excludes requests for referrals to a U.S. Attorney from the Agency's citizen I Petition at I . 2 ld. at 4. 3 Id. at 2. The Petition also asserts that PAI's potassium chloride oral solution drug products raise patient safety concerns because of the amount of alcohol they contain as an excipient. Id. at 3-4. To support the assertion that PAi's prescription drug products raise safety concerns because of the",https://www.regulations.gov/document/FDA-2016-P-1249-0004
FDA-2016-P-4591-0003,FDA-2016-P-4591,Petition denial letter from FDA CDER to   Hyman  P,FDA CDER to   Hyman  P,CDER,Denied,Other Denial Reason,low,,"List"" (Discontinued Section) of the Orange Book. The Agency determined that Decadron was not withdrawn from sale for reasons of safety and efficacy; that determination was published in the Federal Register on May 23, 2007.4 In addition, FDA updated the Orange Book to designate Dexamethasone Tablets, 6 mg, approved under ANDA 088316, held by West-Ward Pharmaceuticals International Ltd, as a reference standard for Dexamethasone Tablets.5 The ""reference standard"" is the drug product selected by FDA that an ANDA applicant must use in conducting an in vivo bioequivalence study required for approval.6 Generally, FDA will designate a single reference standard, which for multi-strength products is 1 The Orange Book is available at http://www.accessdata.fda.gov/scripts/cder/ob/default.cfm. 2 See Dexamethasone Tablet; Oral, Orange Book, available at https://www.accessdata.fda.gov/scripts/cder/ob/default.cfm. 3 See id. 4 See 72 Fed. Reg. 28982,28984 (May 23, 2007). 5 See Dexamethasone Tablet; Oral, Orange Book. 6 See 21 CFR 314.3",https://www.regulations.gov/document/FDA-2016-P-4591-0003
FDA-2016-P-2738-0004,FDA-2016-P-2738,Petition Response Letter from FDA CDER to Metaboli,FDA CDER to Metaboli,CDER,Denied,Procedural - Administrative Deficiency,medium,submission,"nited States after the beginning of the OTC drug review in 1 972 or (ii) conditions without any U.S. marketing experience. 7 A condition includes an active ingredient or botanical drug substance (or combination ofboth), dosage form, dosage strength, and route of administration, marketed for a specific OTC use. 8 If conditions marketed in the United States after the beginning of the OTC drug review in 1972 and those without any U.S. marketing experience have been marketed OTC to a material extent and for a material time, they may be detennined to be eligible for potential inclusion through submission of a time and extent application (TEA) in accordance with 21 CFR 330.14.9 Alternatively, interested persons may seek FDA approval of an OTC drug using an NDA pursuant to section 505 of the Act. 10 II. DISCUSSION A. Determination of Eligibility for OTC Drug Review Using Citizen Petition Process In the Petition, you request that FDA amend the OTC drug monograph for acne drug products to ""indicate that chromium is safe and effe",https://www.regulations.gov/document/FDA-2016-P-2738-0004
FDA-2016-P-3509-0003,FDA-2016-P-3509,Petition Denial Response from CDER,CDER,CDER,Denied,Procedural - Administrative Deficiency,medium,submission,"nited States after the beginning of the OTC drug review in 1972 or (ii) conditions without any U.S. marketing experience.7 A condition includes an active ingredient or botanical drug substance (or combination of both), dosage form, dosage strength, and route of administration, marketed for a specific OTC use.8 If conditions marketed in the United States after the beginning of the OTC drug review in 1972 and those without any U.S. marketing experience have been marketed OTC to a material extent and for a material time, they may be determined to be eligible for potential inclusion through submission of a time and extent application (TEA) in accordance with 21 CFR 330.14.9 Alternatively, interested persons may seek FDA approval of an OTC drug using an NDA pursuant to section 505 ofthe Act. 10 II. DISCUSSION A. Determination of Eligibility for OTC Drug Review Using Citizen Petition Process In the Petition, you request that FDA amend the OTC drug monograph for external analgesic drug products ""to indicate that melatonin and",https://www.regulations.gov/document/FDA-2016-P-3509-0003
FDA-2017-P-4939-0006,FDA-2017-P-4939,Petition Response from FDA CDRH to Chul Hi Park Re,FDA CDRH to Chul Hi Park Re,CDRH,Denied,Other Denial Reason,low,,"retrospectively. Additionally, for retrospective review, you request FDA “develop a set of standardized performance tests” that manufacturers would be required to conduct, publicize, and revise labeling accordingly. 1. Performance Tests Your petitions all focus on tests relating to surgical application of stapler devices on the lungs and digestive tract. You specifically request that the Agency require manufacturers conduct “risk analysis associated with application of the device…with special focus on physiological motion of the organ…;”2 and “with the manner with which the Device is used in surgical applications to perform resection, transection and/or creation of anastomosis …often resulting in creation of a staple line (tissue fastening) patterns or configurations of simple to very complex geometries with special focus on dependence of physiological load distribution on the staple line geometry and on the anatomical disposition of the staple line on the host organ.”3 You also request that the Agency develop a set o",https://www.regulations.gov/document/FDA-2017-P-4939-0006
FDA-2017-P-5787-0242,FDA-2017-P-5787,Final Response Letter from FDA CDER to Post Finast,FDA CDER to Post Finast,CDER,Denied,Procedural - Already Addressed/Moot,medium,current,"nd other relevant data available to the Agency. Based on our review of these materials and for the reasons described below, the Petition is denied in part and granted in part. I. FINASTERIDE (PROPECIA AND PROSCAR) )LQDVWHULGHLVDĮ-reductase inhibitor that reduces the conversion of testosterone to Į- dihydrotestosterone. Two finasteride products are currently available in the United States. FDA’s Division of Urology, Obstetrics, and Gynecology (formerly the Division of Bone, Reproductive, and Urologic Products) approved finasteride, 5 mg (Proscar, NDA 020180), on June 19, 1992, for the treatment of symptomatic benign prostatic hyperplasia (BPH). The Division of Dermatology and Dentistry (formerly the Division of Dermatology and Dental Products) approved finasteride, 1 mg (Propecia, NDA 020788), on December 19, 1997, for the treatment of male pattern hair loss (androgenic alopecia) in men. Generic versions are available for both products. 1 Male pattern hair loss is also referred to, interchangeably, as m",https://www.regulations.gov/document/FDA-2017-P-5787-0242
FDA-2017-P-0052-0203,FDA-2017-P-0052,Response letter from FDA CBER to Donor Sibling Reg,FDA CBER to Donor Sibling Reg,CBER,Denied,Procedural - Administrative Deficiency,medium,regulation,"rsight of the gamete donation industry. However, after careful review and consideration, we deny the Petition for the reasons set forth below. DISCUSSION I. BACKGROUND FDA is an agency within the Department of Health and Human Services (HHS) and, by delegation from the Surgeon General and the Secretary of HHS, has authority under section 361 of the Public Health Service Act (PHS Act) to: Page 2 – Wendy Kramer make and enforce such regulations as in [FDA’s] judgment are necessary to prevent the introduction, transmission, or spread of communicable diseases from foreign countries into the States or possessions, or from one State or possession into any other State or possession. For purposes of carrying out and enforcing such regulations, [FDA] may provide for such inspection, fumigation, disinfection, sanitation, pest extermination, destruction of animals or articles found to be so infected or contaminated as to be sources of dangerous infection to human beings, and other measures, as in [FDA’s] judgment may",https://www.regulations.gov/document/FDA-2017-P-0052-0203
FDA-2017-P-5954-0006,FDA-2017-P-5954,Petition Denial Letter from FDA CDER to Elite Labo,FDA CDER to Elite Labo,CDER,Denied,Procedural - Already Addressed/Moot,medium,current,"mpax, is suitable to use as a reference standard because the currently listed RLD is unavailable in the marketplace and ANDA 076-856 relies on Dantrium (NDA 017-443) as its RLD.1I Specifically, you state that ANDA 076-856 ""is the only currently available 100 mg [d]antrolene [s]odium product [in the marketplace] (and the only available product listed in the FDA Orange Book).""I2 4 Id. 5 Id. 6 21 CFR 314.94(a)(3). 7 ""Therapeutic equivalents are approved drug products that are pharmaceutical equivalents for which bioequivalence has been demonstrated, and that can be expected to have the same clinical effect and safety profile when administered to patients under the conditions specified in the labeling?' (§ 314.3(b)). 8 Abbreviated New Drug Applications and 505(6)(2) Applications, 81 FR 69580 at 69619 (Oct. 6, 2016). 9 Petition at 1. We understand your Petition and supplement to request that the Agency name an additional reference standard, not a new RLD, for this drug product and respond accordingly. 1° Id. "" Id. 1",https://www.regulations.gov/document/FDA-2017-P-5954-0006
